biovolume_um3,mean_thickness_um,roughness_Ra,coverage,file,series,fov,condition,day,species,threshold
59317.04440627257,0.6348162683218863,0.33140943696351827,0.28992462158203125,220817_HOBIC22_5Spezies_FISH_Tag15.lif,3,93 4,CH,15,A.naeslundii,0.9638986587524414
69879.17406414066,0.6621948085386489,0.3649803934391705,0.32742786407470703,220817_HOBIC22_5Spezies_FISH_Tag15.lif,3,93 4,CH,15,Vd/Vp,0.8991427421569824
59599.52336417587,0.612443780755115,0.29469248798151276,0.30194664001464844,220817_HOBIC22_5Spezies_FISH_Tag15.lif,3,93 4,CH,15,F.nucleatum,0.5263837575912476
49414.134831437375,0.5922045112477299,0.26032481397184437,0.25890064239501953,220817_HOBIC22_5Spezies_FISH_Tag15.lif,3,93 4,CH,15,P.gingivalis,0.7755168676376343
35489.321530983936,0.5672852392650093,0.20736055699181172,0.19411087036132812,220817_HOBIC22_5Spezies_FISH_Tag15.lif,4,93 5,CH,15,S.oralis,0.6027665138244629
55744.46213682931,0.5705837607751841,0.21493143110529542,0.3031349182128906,220817_HOBIC22_5Spezies_FISH_Tag15.lif,4,93 5,CH,15,A.naeslundii,0.7117968797683716
38556.763148977916,0.5631811496605971,0.19766034978012362,0.21242523193359375,220817_HOBIC22_5Spezies_FISH_Tag15.lif,4,93 5,CH,15,Vd/Vp,0.7866805791854858
62182.27599179904,0.5916642705067614,0.2579182469413481,0.3260955810546875,220817_HOBIC22_5Spezies_FISH_Tag15.lif,4,93 5,CH,15,F.nucleatum,0.43201518058776855
52092.84111705273,0.5837651855985065,0.24316551268775285,0.27688121795654297,220817_HOBIC22_5Spezies_FISH_Tag15.lif,4,93 5,CH,15,P.gingivalis,0.5516107082366943
25698.050346697342,0.6193957506389599,0.3279333482032557,0.12873172760009766,220817_HOBIC22_5Spezies_FISH_Tag15.lif,5,93 6,CH,15,S.oralis,0.6830027103424072
55528.56640634688,0.5831743551339119,0.24133029385165847,0.2954416275024414,220817_HOBIC22_5Spezies_FISH_Tag15.lif,5,93 6,CH,15,A.naeslundii,0.7270166873931885
40022.67055545159,0.6079395952191977,0.29873834426109197,0.2042675018310547,220817_HOBIC22_5Spezies_FISH_Tag15.lif,5,93 6,CH,15,Vd/Vp,0.781542956829071
64771.64081059795,0.6060957787594836,0.28389509263213925,0.3315868377685547,220817_HOBIC22_5Spezies_FISH_Tag15.lif,5,93 6,CH,15,F.nucleatum,0.3826403021812439
50285.713891533116,0.5914025610902256,0.258524174410155,0.263824462890625,220817_HOBIC22_5Spezies_FISH_Tag15.lif,5,93 6,CH,15,P.gingivalis,0.5807309150695801
42230.06600493543,0.5727808884590373,0.21974208694582423,0.22876358032226562,220817_HOBIC22_5Spezies_FISH_Tag15.lif,6,93 7,CH,15,S.oralis,0.6345377564430237
34026.48956226643,0.5731215797021169,0.21900567463717185,0.18421459197998047,220817_HOBIC22_5Spezies_FISH_Tag15.lif,6,93 7,CH,15,A.naeslundii,0.8834793567657471
49138.57560848544,0.5907713696058651,0.25607379952863646,0.25808143615722656,220817_HOBIC22_5Spezies_FISH_Tag15.lif,6,93 7,CH,15,Vd/Vp,0.802734375
56527.77613332326,0.6088264115466101,0.28733366916799535,0.2880859375,220817_HOBIC22_5Spezies_FISH_Tag15.lif,6,93 7,CH,15,F.nucleatum,0.46703869104385376
52084.07611944768,0.5895024751528053,0.2542431899913654,0.2741403579711914,220817_HOBIC22_5Spezies_FISH_Tag15.lif,6,93 7,CH,15,P.gingivalis,0.5567196607589722
42986.9312367264,0.5754348505856843,0.22532579812622958,0.23178958892822266,220817_HOBIC22_5Spezies_FISH_Tag21.lif,0,91 1,CH,21,S.oralis,0.4886673092842102
51510.50697792384,0.5350516852210725,0.12116045299861838,0.29871273040771484,220817_HOBIC22_5Spezies_FISH_Tag21.lif,0,91 1,CH,21,A.naeslundii,0.6698567867279053
65613.08058068332,0.5593539179285353,0.18731959057538947,0.36396312713623047,220817_HOBIC22_5Spezies_FISH_Tag21.lif,0,91 1,CH,21,Vd/Vp,0.5985677242279053
55802.587910420734,0.5470513880058697,0.15548134262839275,0.31650447845458984,220817_HOBIC22_5Spezies_FISH_Tag21.lif,0,91 1,CH,21,F.nucleatum,0.42889404296875
54837.20799876211,0.559433537042321,0.18768388534132102,0.30414485931396484,220817_HOBIC22_5Spezies_FISH_Tag21.lif,0,91 1,CH,21,P.gingivalis,0.4189552366733551
47059.11836965785,0.5815619310973524,0.23846798399867447,0.25107383728027344,220817_HOBIC22_5Spezies_FISH_Tag21.lif,1,91 2,CH,21,S.oralis,0.821044921875
59452.978755094846,0.6036132551738772,0.28006793805162156,0.30561065673828125,220817_HOBIC22_5Spezies_FISH_Tag21.lif,1,91 2,CH,21,A.naeslundii,0.9166218042373657
58441.46727709382,0.6118938791469423,0.2944734626700628,0.29634571075439453,220817_HOBIC22_5Spezies_FISH_Tag21.lif,1,91 2,CH,21,Vd/Vp,0.8809814453125
