condition,t_day,species,phi
DS,4.550000000000001,A. naeslundii,0.06301388895012314
DS,4.550000000000001,V. parvula,0.6348910423850548
DS,4.550000000000001,F. nucleatum,0.07901607750510199
DS,4.550000000000001,P. gingivalis_W83,0.1396382321635955
DS,4.6,S. oralis,0.0827996622787341
DS,4.6,A. naeslundii,0.0628439751921735
DS,4.6,V. parvula,0.634572215007171
DS,4.6,F. nucleatum,0.07947386377325447
DS,4.6,P. gingivalis_W83,0.14031028374866708
DS,4.65,S. oralis,0.08216527264060687
DS,4.65,A. naeslundii,0.06267701647103502
DS,4.65,V. parvula,0.6342456186681578
DS,4.65,F. nucleatum,0.07993273155545992
DS,4.65,P. gingivalis_W83,0.1409793606647405
DS,4.7,S. oralis,0.08153752015412773
DS,4.7,A. naeslundii,0.06251298812828532
DS,4.7,V. parvula,0.6339113592891812
DS,4.7,F. nucleatum,0.0803926770847028
DS,4.7,P. gingivalis_W83,0.14164545534370307
DS,4.75,S. oralis,0.08091633532491149
DS,4.75,A. naeslundii,0.06235186580011288
DS,4.75,V. parvula,0.6335695416620718
DS,4.75,F. nucleatum,0.08085369652763054
DS,4.75,P. gingivalis_W83,0.14230856068527314
DS,4.800000000000001,S. oralis,0.08030164975573091
DS,4.800000000000001,A. naeslundii,0.062193625831888505
DS,4.800000000000001,V. parvula,0.6332202678522748
DS,4.800000000000001,F. nucleatum,0.0813157858756652
DS,4.800000000000001,P. gingivalis_W83,0.1429686706844407
DS,4.85,S. oralis,0.07969339525276146
DS,4.85,A. naeslundii,0.06203824469759258
DS,4.85,V. parvula,0.6328636394307381
DS,4.85,F. nucleatum,0.08177894108728449
DS,4.85,P. gingivalis_W83,0.1436257795316232
DS,4.9,S. oralis,0.07909150389175668
DS,4.9,A. naeslundii,0.06188569904771072
DS,4.9,V. parvula,0.6324997572908585
DS,4.9,F. nucleatum,0.08224315807934544
DS,4.9,P. gingivalis_W83,0.14427988169032852
DS,4.95,S. oralis,0.07849590881535838
DS,4.95,A. naeslundii,0.06173596619615351
DS,4.95,V. parvula,0.6321287197784978
DS,4.95,F. nucleatum,0.08270843259656459
DS,4.95,P. gingivalis_W83,0.14493097261342586
DS,5.0,S. oralis,0.07790654363418352
DS,5.0,A. naeslundii,0.061589023744722034
DS,5.0,V. parvula,0.6317506241334057
DS,5.0,F. nucleatum,0.08317476030706247
DS,5.0,P. gingivalis_W83,0.1455790481806262
DS,5.05,S. oralis,0.07732334227883407
DS,5.05,A. naeslundii,0.06144484948875652
DS,5.05,V. parvula,0.6313655668528979
DS,5.05,F. nucleatum,0.08364213682644095
DS,5.05,P. gingivalis_W83,0.1462241045530707
DS,5.1000000000000005,S. oralis,0.07674623919047896
DS,5.1000000000000005,A. naeslundii,0.06130342153546665
DS,5.1000000000000005,V. parvula,0.6309736432387991
DS,5.1000000000000005,F. nucleatum,0.08411055768871768
DS,5.1000000000000005,P. gingivalis_W83,0.14686613834653742
DS,5.15,S. oralis,0.0761751698858298
DS,5.15,A. naeslundii,0.06116471862895759
DS,5.15,V. parvula,0.630574946152342
DS,5.15,F. nucleatum,0.08458001824833826
DS,5.15,P. gingivalis_W83,0.14750514708453225
DS,5.2,S. oralis,0.07561007005908466
DS,5.2,A. naeslundii,0.06102871961631723
DS,5.2,V. parvula,0.6301695680609991
DS,5.2,F. nucleatum,0.08505051382960535
DS,5.2,P. gingivalis_W83,0.14814112843399377
DS,5.25,S. oralis,0.07505087572637822
DS,5.25,A. naeslundii,0.06089540353677623
DS,5.25,V. parvula,0.6297576006963883
DS,5.25,F. nucleatum,0.08552203970504363
DS,5.25,P. gingivalis_W83,0.14877408033541348
DS,5.3,S. oralis,0.07449752406498818
DS,5.3,A. naeslundii,0.06076475009664005
DS,5.3,V. parvula,0.629339133243441
DS,5.3,F. nucleatum,0.08599459094996571
DS,5.3,P. gingivalis_W83,0.1494040016449649
DS,5.3500000000000005,S. oralis,0.07394995259873206
DS,5.3500000000000005,A. naeslundii,0.06063673919989919
DS,5.3500000000000005,V. parvula,0.6289142541327746
DS,5.3500000000000005,F. nucleatum,0.08646816258000958
DS,5.3500000000000005,P. gingivalis_W83,0.15003089148858445
DS,5.4,S. oralis,0.07340809918264055
DS,5.4,A. naeslundii,0.06051135093843336
DS,5.4,V. parvula,0.6284830510792391
DS,5.4,F. nucleatum,0.08694274955418996
DS,5.4,P. gingivalis_W83,0.1506547492454972
DS,5.45,S. oralis,0.07287190234929024
DS,5.45,A. naeslundii,0.06038856578591442
DS,5.45,V. parvula,0.6280456103453133
DS,5.45,F. nucleatum,0.08741834671605063
DS,5.45,P. gingivalis_W83,0.15127557480343132
DS,5.5,S. oralis,0.07234130155861053
DS,5.5,A. naeslundii,0.060268364730936136
DS,5.5,V. parvula,0.6276020162385695
DS,5.5,F. nucleatum,0.08789494874570321
DS,5.5,P. gingivalis_W83,0.1518933687261805
DS,5.55,S. oralis,0.07181623645944966
DS,5.55,A. naeslundii,0.06015072886536889
DS,5.55,V. parvula,0.6271523526761416
DS,5.55,F. nucleatum,0.08837255028940874
DS,5.55,P. gingivalis_W83,0.15250813170963132
DS,5.6000000000000005,S. oralis,0.07129664708868455
DS,5.6000000000000005,A. naeslundii,0.06003563949680271
DS,5.6000000000000005,V. parvula,0.6266967027564446
DS,5.6000000000000005,F. nucleatum,0.08885114592729138
DS,5.6000000000000005,P. gingivalis_W83,0.15311986473077668
DS,5.65,S. oralis,0.07078247465457013
DS,5.65,A. naeslundii,0.0599230785680432
DS,5.65,V. parvula,0.6262351471812879
DS,5.65,F. nucleatum,0.08933073002833666
DS,5.65,P. gingivalis_W83,0.15372856956776199
DS,5.7,S. oralis,0.07027366063382577
DS,5.7,A. naeslundii,0.05981302816649822
DS,5.7,V. parvula,0.6257677661080899
DS,5.7,F. nucleatum,0.08981129691234294
DS,5.7,P. gingivalis_W83,0.15433424817924302
DS,5.75,S. oralis,0.06977014678104283
DS,5.75,A. naeslundii,0.05970547053009562
DS,5.75,V. parvula,0.6252946391266121
DS,5.75,F. nucleatum,0.09029284084980944
DS,5.75,P. gingivalis_W83,0.15493690271243996
DS,5.800000000000001,S. oralis,0.0692718757648953
DS,5.800000000000001,A. naeslundii,0.059600388383747656
DS,5.800000000000001,V. parvula,0.6248158440003801
DS,5.800000000000001,F. nucleatum,0.0907753559439083
DS,5.800000000000001,P. gingivalis_W83,0.15553653590706867
DS,5.8500000000000005,S. oralis,0.0687787909367479
DS,5.8500000000000005,A. naeslundii,0.05949776481384736
DS,5.8500000000000005,V. parvula,0.6243314571404943
DS,5.8500000000000005,F. nucleatum,0.0912588361699949
DS,5.8500000000000005,P. gingivalis_W83,0.1561331509389155
DS,5.9,S. oralis,0.06829083588704571
DS,5.9,A. naeslundii,0.05939758303215724
DS,5.9,V. parvula,0.6238415544913242
DS,5.9,F. nucleatum,0.09174327545809212
DS,5.9,P. gingivalis_W83,0.1567267511313807
DS,5.95,S. oralis,0.06780795465666771
DS,5.95,A. naeslundii,0.059299826488167284
DS,5.95,V. parvula,0.6233462111085765
DS,5.95,F. nucleatum,0.09222866765611228
DS,5.95,P. gingivalis_W83,0.15731734009047627
DS,6.0,S. oralis,0.06733009240600414
DS,6.0,A. naeslundii,0.05920447921362248
DS,6.0,V. parvula,0.622845499888273
DS,6.0,F. nucleatum,0.09271500639665933
DS,6.0,P. gingivalis_W83,0.157904922095441
DS,6.050000000000001,S. oralis,0.06685719450378201
DS,6.050000000000001,A. naeslundii,0.059111525347940216
DS,6.050000000000001,V. parvula,0.6223394933288329
DS,6.050000000000001,F. nucleatum,0.0932022852714815
DS,6.050000000000001,P. gingivalis_W83,0.15848950154796335
DS,6.1000000000000005,S. oralis,0.06638920659289682
DS,6.1000000000000005,A. naeslundii,0.05902094917331531
DS,6.1000000000000005,V. parvula,0.6218282633980851
DS,6.1000000000000005,F. nucleatum,0.09369049782124372
DS,6.1000000000000005,P. gingivalis_W83,0.15907108301445913
DS,6.15,S. oralis,0.06592607535559761
DS,6.15,A. naeslundii,0.058932735505051334
DS,6.15,V. parvula,0.6213118801030713
DS,6.15,F. nucleatum,0.09417963738241683
DS,6.15,P. gingivalis_W83,0.15964967165386293
DS,6.2,S. oralis,0.06546774795269485
DS,6.2,A. naeslundii,0.058846869403313996
