condition,t_day,species,phi
DH,4.800000000000001,S. oralis,0.097184526482959
DH,4.800000000000001,A. naeslundii,0.11321210496711342
DH,4.800000000000001,V. parvula,0.721699465581826
DH,4.800000000000001,F. nucleatum,0.04760240526852114
DH,4.800000000000001,P. gingivalis_W83,0.02030149769958065
DH,4.85,S. oralis,0.09798424495138063
DH,4.85,A. naeslundii,0.11560982406946214
DH,4.85,V. parvula,0.7172729221733264
DH,4.85,F. nucleatum,0.048601138317578445
DH,4.85,P. gingivalis_W83,0.020531870488252283
DH,4.9,S. oralis,0.09876975099977345
DH,4.9,A. naeslundii,0.11802045532251304
DH,4.9,V. parvula,0.7128404946832975
DH,4.9,F. nucleatum,0.04960773369846208
DH,4.9,P. gingivalis_W83,0.0207615652959541
DH,4.95,S. oralis,0.09954069384552061
DH,4.95,A. naeslundii,0.12044289261316371
DH,4.95,V. parvula,0.7084040002226499
DH,4.95,F. nucleatum,0.050621876586672276
DH,4.95,P. gingivalis_W83,0.020990536731993557
DH,5.0,S. oralis,0.10029673972570624
DH,5.0,A. naeslundii,0.1228760255343019
DH,5.0,V. parvula,0.7039652429588514
DH,5.0,F. nucleatum,0.05164324988354616
DH,5.0,P. gingivalis_W83,0.021218741897594408
DH,5.05,S. oralis,0.10103757650681569
DH,5.05,A. naeslundii,0.12531874146951544
DH,5.05,V. parvula,0.6995260064360139
DH,5.05,F. nucleatum,0.052671534530152775
DH,5.05,P. gingivalis_W83,0.02144614105750212
DH,5.1000000000000005,S. oralis,0.1017629084713702
DH,5.1000000000000005,A. naeslundii,0.12776992786640867
DH,5.1000000000000005,V. parvula,0.6950880563102617
DH,5.1000000000000005,F. nucleatum,0.05370641047660823
DH,5.1000000000000005,P. gingivalis_W83,0.021672696875351095
DH,5.15,S. oralis,0.10247246212286318
DH,5.15,A. naeslundii,0.13022847502118823
DH,5.15,V. parvula,0.690653130483578
DH,5.15,F. nucleatum,0.0547475571145
DH,5.15,P. gingivalis_W83,0.02189837525787068
DH,5.2,S. oralis,0.10316598132398536
DH,5.2,A. naeslundii,0.13269327743854437
DH,5.2,V. parvula,0.6862229426362577
DH,5.2,F. nucleatum,0.05579465395922964
DH,5.2,P. gingivalis_W83,0.02212314464198303
DH,5.25,S. oralis,0.10384323104389388
DH,5.25,A. naeslundii,0.13516323686979625
DH,5.25,V. parvula,0.6817991742757326
DH,5.25,F. nucleatum,0.05684738127368494
DH,5.25,P. gingivalis_W83,0.022346976536892445
DH,5.3,S. oralis,0.10450399522581387
DH,5.3,A. naeslundii,0.13763726379542107
DH,5.3,V. parvula,0.6773834751574281
DH,5.3,F. nucleatum,0.057905420612366476
DH,5.3,P. gingivalis_W83,0.02256984520897058
DH,5.3500000000000005,S. oralis,0.10514807726369665
DH,5.3500000000000005,A. naeslundii,0.14011427943019011
DH,5.3500000000000005,V. parvula,0.6729774602105874
DH,5.3500000000000005,F. nucleatum,0.0589684553487149
DH,5.3500000000000005,P. gingivalis_W83,0.02279172774681108
DH,5.4,S. oralis,0.10577530086451996
DH,5.4,A. naeslundii,0.14259321850976323
DH,5.4,V. parvula,0.6685827050491051
DH,5.4,F. nucleatum,0.060036171396203486
DH,5.4,P. gingivalis_W83,0.023012604180408083
DH,5.45,S. oralis,0.10638550711522082
DH,5.45,A. naeslundii,0.1450730287846384
DH,5.45,V. parvula,0.6642007498089244
DH,5.45,F. nucleatum,0.061108257238756535
DH,5.45,P. gingivalis_W83,0.02323245705245988
DH,5.5,S. oralis,0.10697855873581871
DH,5.5,A. naeslundii,0.1475526767151021
DH,5.5,V. parvula,0.6598330872754773
DH,5.5,F. nucleatum,0.062184405247816495
DH,5.5,P. gingivalis_W83,0.023451272025785477
DH,5.55,S. oralis,0.10755433439925847
DH,5.55,A. naeslundii,0.15003114396136832
DH,5.55,V. parvula,0.6554811735351797
DH,5.55,F. nucleatum,0.06326431104455908
DH,5.55,P. gingivalis_W83,0.02366903705963451
DH,5.6000000000000005,S. oralis,0.10811273363515235
DH,5.6000000000000005,A. naeslundii,0.15250743419074445
DH,5.6000000000000005,V. parvula,0.6511464139884382
DH,5.6000000000000005,F. nucleatum,0.06434767507722165
DH,5.6000000000000005,P. gingivalis_W83,0.023885743108443366
DH,5.65,S. oralis,0.10865367232632395
DH,5.65,A. naeslundii,0.1549805700241623
DH,5.65,V. parvula,0.6468301721409896
DH,5.65,F. nucleatum,0.06543420203945828
DH,5.65,P. gingivalis_W83,0.024101383469066037
DH,5.7,S. oralis,0.10917708472523883
DH,5.7,A. naeslundii,0.15744959699766428
DH,5.7,V. parvula,0.6425337623841725
DH,5.7,F. nucleatum,0.06652360182930943
DH,5.7,P. gingivalis_W83,0.024315954063615072
DH,5.75,S. oralis,0.1096829225678431
DH,5.75,A. naeslundii,0.1599135844290403
DH,5.75,V. parvula,0.6382584498690628
DH,5.75,F. nucleatum,0.06761558982891044
DH,5.75,P. gingivalis_W83,0.024529453305143247
DH,5.800000000000001,S. oralis,0.11017115318590677
DH,5.800000000000001,A. naeslundii,0.16237162420764356
DH,5.800000000000001,V. parvula,0.6340054541089181
DH,5.800000000000001,F. nucleatum,0.06870988667426757
DH,5.800000000000001,P. gingivalis_W83,0.024741881823263864
DH,5.8500000000000005,S. oralis,0.11064176167483007
DH,5.8500000000000005,A. naeslundii,0.1648228359355592
DH,5.8500000000000005,V. parvula,0.6297759401063433
DH,5.8500000000000005,F. nucleatum,0.0698062195193844
DH,5.8500000000000005,P. gingivalis_W83,0.024953242763882888
DH,5.9,S. oralis,0.11109474769906323
DH,5.9,A. naeslundii,0.1672663634929927
DH,5.9,V. parvula,0.6255710262014182
DH,5.9,F. nucleatum,0.07090432127657485
DH,5.9,P. gingivalis_W83,0.02516354132995105
DH,5.95,S. oralis,0.11153012658331306
DH,5.95,A. naeslundii,0.1697013784067157
DH,5.95,V. parvula,0.6213917786250508
DH,5.95,F. nucleatum,0.07200393145622319
DH,5.95,P. gingivalis_W83,0.025372784928697274
DH,6.0,S. oralis,0.11194792857179159
DH,6.0,A. naeslundii,0.17212708037414307
DH,6.0,V. parvula,0.6172392116547111
