condition,t_day,species,phi
CS,4.2,A. naeslundii,0.015302992815590005
CS,4.2,V. dispar,0.2240311287800218
CS,4.2,F. nucleatum,0.004808662411412082
CS,4.2,P. gingivalis_20709,0.004597495168380289
CS,4.25,S. oralis,0.75242104323446
CS,4.25,A. naeslundii,0.01559152270523242
CS,4.25,V. dispar,0.22257931032874956
CS,4.25,F. nucleatum,0.004807740667071613
CS,4.25,P. gingivalis_20709,0.004600383064486442
CS,4.300000000000001,S. oralis,0.7535157594423668
CS,4.300000000000001,A. naeslundii,0.01588691034595384
CS,4.300000000000001,V. dispar,0.22118639743017074
CS,4.300000000000001,F. nucleatum,0.004807250781059381
CS,4.300000000000001,P. gingivalis_20709,0.004603682000449336
CS,4.35,S. oralis,0.7545462967112103
CS,4.35,A. naeslundii,0.016189279021827544
CS,4.35,V. dispar,0.21984986841764984
CS,4.35,F. nucleatum,0.004807177380983456
CS,4.35,P. gingivalis_20709,0.004607378468328825
CS,4.4,S. oralis,0.7555149404384301
CS,4.4,A. naeslundii,0.016498754146127306
CS,4.4,V. dispar,0.21856734053514176
CS,4.4,F. nucleatum,0.0048075055444832355
CS,4.4,P. gingivalis_20709,0.004611459335817434
CS,4.45,S. oralis,0.7564238422830172
CS,4.45,A. naeslundii,0.016815463279806483
CS,4.45,V. dispar,0.21733656181350458
CS,4.45,F. nucleatum,0.004808220787023389
CS,4.45,P. gingivalis_20709,0.004615911836648244
CS,4.5,S. oralis,0.7572750281509585
CS,4.5,A. naeslundii,0.0171395361421182
CS,4.5,V. dispar,0.21615540309944783
CS,4.5,F. nucleatum,0.00480930904801801
CS,4.5,P. gingivalis_20709,0.004620723559457458
CS,4.550000000000001,S. oralis,0.758070406851381
CS,4.550000000000001,A. naeslundii,0.017471104592117252
CS,4.550000000000001,V. dispar,0.21502184945192637
CS,4.550000000000001,F. nucleatum,0.0048107566721278285
CS,4.550000000000001,P. gingivalis_20709,0.004625882432447456
CS,4.6,S. oralis,0.7588117764209603
CS,4.6,A. naeslundii,0.01781030264138488
CS,4.6,V. dispar,0.21393399382749503
CS,4.6,F. nucleatum,0.004812550396898596
CS,4.6,P. gingivalis_20709,0.004631376713261126
CS,4.65,S. oralis,0.7595008331592117
CS,4.65,A. naeslundii,0.018157266391035463
CS,4.65,V. dispar,0.2128900281532833
CS,4.65,F. nucleatum,0.004814677328098487
CS,4.65,P. gingivalis_20709,0.004637194968371025
CS,4.7,S. oralis,0.7601391715814824
CS,4.7,A. naeslundii,0.018512134163703547
CS,4.7,V. dispar,0.21188824322658947
CS,4.7,F. nucleatum,0.004817124948072828
CS,4.7,P. gingivalis_20709,0.004643326080151744
CS,4.75,S. oralis,0.7607282965037506
CS,4.75,A. naeslundii,0.018875046351778026
CS,4.75,V. dispar,0.2109270168524633
CS,4.75,F. nucleatum,0.004819881077358787
CS,4.75,P. gingivalis_20709,0.004649759214649338
CS,4.800000000000001,S. oralis,0.7612696273854441
CS,4.800000000000001,A. naeslundii,0.019246145413481058
CS,4.800000000000001,V. dispar,0.21000480952645437
CS,4.800000000000001,F. nucleatum,0.004822933862990122
CS,4.800000000000001,P. gingivalis_20709,0.004656483811630388
CS,4.85,S. oralis,0.7617644984431331
CS,4.85,A. naeslundii,0.019625575986191905
CS,4.85,V. dispar,0.20912016419862514
CS,4.85,F. nucleatum,0.004826271783476891
CS,4.85,P. gingivalis_20709,0.004663489588572942
CS,4.9,S. oralis,0.7622141684022709
CS,4.9,A. naeslundii,0.02001348473566204
CS,4.9,V. dispar,0.20827169673475096
CS,4.9,F. nucleatum,0.004829883615100056
CS,4.9,P. gingivalis_20709,0.004670766512216166
CS,4.95,S. oralis,0.76261982468691
CS,4.95,A. naeslundii,0.02041002032574167
CS,4.95,V. dispar,0.20745809178224592
CS,4.95,F. nucleatum,0.004833758418260772
CS,4.95,P. gingivalis_20709,0.0046783047868416625
CS,5.0,S. oralis,0.7629825829928885
CS,5.0,A. naeslundii,0.020815333527672203
CS,5.0,V. dispar,0.20667810307891554
CS,5.0,F. nucleatum,0.004837885542457035
CS,5.0,P. gingivalis_20709,0.004686094858066823
CS,5.05,S. oralis,0.7633034950682193
CS,5.05,A. naeslundii,0.021229577074881024
CS,5.05,V. dispar,0.2059305458708598
CS,5.05,F. nucleatum,0.0048422545975453785
CS,5.05,P. gingivalis_20709,0.0046941273884944035
CS,5.1000000000000005,S. oralis,0.7635835526955884
CS,5.1000000000000005,A. naeslundii,0.02165290560838938
CS,5.1000000000000005,V. dispar,0.20521429301182753
CS,5.1000000000000005,F. nucleatum,0.004846855439097627
CS,5.1000000000000005,P. gingivalis_20709,0.004702393245097111
CS,5.15,S. oralis,0.7638236870953963
CS,5.15,A. naeslundii,0.022085475772764016
CS,5.15,V. dispar,0.20452827545711186
CS,5.15,F. nucleatum,0.0048516781725597
CS,5.15,P. gingivalis_20709,0.004710883502168105
CS,5.2,S. oralis,0.7640247750117184
CS,5.2,A. naeslundii,0.02252744608077515
CS,5.2,V. dispar,0.20387147635679292
CS,5.2,F. nucleatum,0.004856713129546688
CS,5.2,P. gingivalis_20709,0.004719589421166707
CS,5.25,S. oralis,0.7641876424284434
CS,5.25,A. naeslundii,0.022978976837592754
CS,5.25,V. dispar,0.2032429274429838
CS,5.25,F. nucleatum,0.004861950853032776
CS,5.25,P. gingivalis_20709,0.00472850243794731
CS,5.3,S. oralis,0.764313064086389
CS,5.3,A. naeslundii,0.023440230212818245
CS,5.3,V. dispar,0.20264170943663146
CS,5.3,F. nucleatum,0.00486738209991398
CS,5.3,P. gingivalis_20709,0.004737614164247308
CS,5.3500000000000005,S. oralis,0.7644017677191989
CS,5.3500000000000005,A. naeslundii,0.02391137013354588
CS,5.3500000000000005,V. dispar,0.20206694795012117
CS,5.3500000000000005,F. nucleatum,0.004872997824004444
CS,5.3500000000000005,P. gingivalis_20709,0.004746916373129583
CS,5.4,S. oralis,0.7644544389663205
CS,5.4,A. naeslundii,0.024392562132223537
CS,5.4,V. dispar,0.20151780876537928
CS,5.4,F. nucleatum,0.004878789154984833
CS,5.4,P. gingivalis_20709,0.00475640098109182
CS,5.45,S. oralis,0.764471717307395
CS,5.45,A. naeslundii,0.024883973538283324
CS,5.45,V. dispar,0.2009935016771605
CS,5.45,F. nucleatum,0.004884747415703339
CS,5.45,P. gingivalis_20709,0.004766060061457705
CS,5.5,S. oralis,0.7644542065139165
CS,5.5,A. naeslundii,0.025385773090354665
CS,5.5,V. dispar,0.20049327050975
CS,5.5,F. nucleatum,0.004890864078036185
CS,5.5,P. gingivalis_20709,0.004775885807942502
CS,5.55,S. oralis,0.7644024682633095
CS,5.55,A. naeslundii,0.02589813120562495
CS,5.55,V. dispar,0.20001639918755781
CS,5.55,F. nucleatum,0.0048971307888060756
CS,5.55,P. gingivalis_20709,0.004785870554701672
CS,5.6000000000000005,S. oralis,0.7643170306507489
CS,5.6000000000000005,A. naeslundii,0.026421219647446377
CS,5.6000000000000005,V. dispar,0.19956220362063704
CS,5.6000000000000005,F. nucleatum,0.004903539334121292
CS,5.6000000000000005,P. gingivalis_20709,0.0047960067470464475
CS,5.65,S. oralis,0.7641983864470773
CS,5.65,A. naeslundii,0.02695521159454461
CS,5.65,V. dispar,0.19913003336765936
CS,5.65,F. nucleatum,0.004910081645369525
CS,5.65,P. gingivalis_20709,0.004806286945349093
CS,5.7,S. oralis,0.7640469949341137
CS,5.7,A. naeslundii,0.027500281556559293
CS,5.7,V. dispar,0.19871926990038638
CS,5.7,F. nucleatum,0.004916749791127247
CS,5.7,P. gingivalis_20709,0.00481670381781357
