run_accession	sample_alias	fastq_ftp	fastq_md5	fastq_bytes	library_layout	library_strategy	library_source	library_selection
SRR30617622	NU_65	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/022/SRR30617622/SRR30617622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/022/SRR30617622/SRR30617622_2.fastq.gz	1de95aecc90dce7a050c7da3603f0693;d1041eb0252502abd7ea95feedc07822	8522887;12427463	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617624	NU_63	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/024/SRR30617624/SRR30617624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/024/SRR30617624/SRR30617624_2.fastq.gz	c2a972e068b97c8398474479a3315e18;98e19935dbaa9510daf6d52b8f8fa127	8762074;11995581	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617629	NU_59	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/029/SRR30617629/SRR30617629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/029/SRR30617629/SRR30617629_2.fastq.gz	48f06e513fec194be9275cfa8cc718c0;14ded77798f6de43e4fd767b45092352	8544909;11755797	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617632	NU_56	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/032/SRR30617632/SRR30617632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/032/SRR30617632/SRR30617632_2.fastq.gz	70b242d964f3969dfb3e6e9919f9a302;a83f053e7b65f355a23675922e0c9d23	9993707;14313127	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617633	NU_55	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/033/SRR30617633/SRR30617633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/033/SRR30617633/SRR30617633_2.fastq.gz	855e18c41c32fffb4fe5e8944cdd0a67;6bc6de5400e216d1c9bd2ca4b4dcc501	10794383;14005549	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617634	NU_54	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/034/SRR30617634/SRR30617634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/034/SRR30617634/SRR30617634_2.fastq.gz	383af72f0c326275fda5d9080a0c75c5;3b5d01c4e57e19638472699485221693	7814835;11102412	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617637	NU_52	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/037/SRR30617637/SRR30617637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/037/SRR30617637/SRR30617637_2.fastq.gz	a1a4a7aa15f7b84c9a3c7d5c32aae694;d7059c492588eb98db87dbbf45cc8bb8	9636679;13620626	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617639	NU_50	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/039/SRR30617639/SRR30617639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/039/SRR30617639/SRR30617639_2.fastq.gz	2aefefce86144f345c5872cf1462d3b9;6aae755d686916a1f7ab3a9d62260b02	8847326;13018988	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617645	NU_44	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/045/SRR30617645/SRR30617645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/045/SRR30617645/SRR30617645_2.fastq.gz	c3cf8ebf46fbf6a439d7b01b5e9490db;87e634e662a0938eab032683b70c0cea	7898646;11200105	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617654	NU_36	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/054/SRR30617654/SRR30617654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/054/SRR30617654/SRR30617654_2.fastq.gz	20424f648efd5377b3f7b22824e75d19;a5c78fa16b72ab830c16be58d7535a49	13865430;17741656	PAIRED	AMPLICON	GENOMIC	RT-PCR
