condition,day,z_um,S.oralis,A.naeslundii,Vd/Vp,F.nucleatum,P.gingivalis
DH,10,9.865871794871795,0.022443747112097647,0.05894752871245146,0.10259457371937922,0.03124550288208784,0.09758619457865372
DH,10,11.275282051282051,0.023486903032813318,0.0644772845105483,0.11244143774876227,0.0343765398630729,0.10301061222950618
DH,10,12.684692307692307,0.02462947633690559,0.07026869115921167,0.12233634035174662,0.03790581949914877,0.10854692642505352
DH,10,14.094102564102563,0.02588106319308281,0.07640980881376144,0.13275955111170426,0.04168426656188108,0.11390070330638152
DH,10,15.50351282051282,0.02744467449016296,0.08333147766116338,0.14467701908105457,0.04612949896508302,0.11897465357413659
DH,10,16.91292307692308,0.02930804907989043,0.09102115636834732,0.15825838767565215,0.05137545744387003,0.12425321627121705
DH,10,18.322333333333333,0.03166899147133032,0.09981496880451837,0.17433230330546695,0.057824742669860506,0.12950541451573372
DH,10,19.73174358974359,0.03468727110288082,0.10975389478680414,0.19261730252168116,0.06535072820499921,0.133690411845843
DH,10,21.141153846153845,0.03845869900228885,0.12007992170177971,0.21167942766959846,0.07356098896035779,0.1366820948628279
DH,10,22.550564102564103,0.04268806067128211,0.13092947722627565,0.23158534291463018,0.08256358844347489,0.13936404711925066
DH,10,23.95997435897436,0.04738975039277321,0.14263167174962849,0.25232196752077496,0.09256784828045428,0.14155588413660342
DH,10,25.369384615384615,0.05300907991253411,0.15560946900110975,0.27472014495959646,0.10375624236006001,0.14293912110420373
DH,10,26.778794871794872,0.05972738129397233,0.16959867645532656,0.2991354641241905,0.11607139557600021,0.14347594040326583
DH,10,28.188205128205126,0.06840056266922215,0.18398583852327785,0.3254522039340092,0.12992726677121258,0.1427637443710596
DH,10,29.597615384615384,0.0796296724046652,0.20099846101724184,0.356116602054009,0.14644826318208987,0.14091863024693269
DH,10,31.00702564102564,0.09486623242115359,0.21916364993040377,0.3895089970185206,0.1648384304000781,0.1374719373117655
DH,10,32.416435897435896,0.11303299918579746,0.23752050846815106,0.42373673847088444,0.184266346005293,0.1332995168482646
DH,10,33.82584615384616,0.12958312579072437,0.25335927364917904,0.44867820808520686,0.2004876148242217,0.12987876482881033
DH,10,35.235256410256405,0.14520484600693745,0.2681012875758684,0.4667926086829258,0.2144310646332227,0.12704662644328216
DH,10,36.644666666666666,0.151821106672287,0.2720168034235636,0.4629588474829992,0.21795213470856348,0.12293102095524472
DH,10,38.05407692307692,0.1546036841777655,0.2697547123982356,0.4460464154298489,0.21492006687017587,0.11869768569102657
DH,10,39.46348717948718,0.1563878987844174,0.2639368657882397,0.42632329960664117,0.20737698273016858,0.11328831849954069
DH,10,40.872897435897436,0.1539436515707236,0.25235478236125064,0.39534983000694174,0.19275789134777507,0.10678329528906405
DH,10,42.28230769230769,0.14315030523217648,0.22522197004694217,0.3392854854464533,0.1667784399424609,0.09685480809555608
DH,10,43.691717948717944,0.12379407214048585,0.17403471345702817,0.24898160478243478,0.12320189144557876,0.07933560266899761
DH,10,45.101128205128205,0.10484281325569525,0.11893068855771663,0.161145781286252,0.07754130542087259,0.05798780607680484
DH,10,46.51053846153846,0.08782726755509013,0.08338023865452186,0.10477002480855364,0.048798839203440275,0.04288995824754241
DH,10,47.91994871794872,0.07432719482443273,0.060114789085510455,0.06998201693670872,0.03168024872549069,0.0328608205398688
DH,10,49.32935897435897,0.06367567449043962,0.044493236602881084,0.047328939756903984,0.02096771401090504,0.02549218973861294
DH,10,50.73876923076923,0.05653702353055663,0.03493747272743632,0.03381729942674826,0.01491781925925844,0.020323384911395057
DH,10,52.14817948717948,0.050554547554407386,0.027916204279814033,0.024207705058730593,0.010823474707416247,0.016287215865957445
DH,10,53.557589743589745,0.04563855699812756,0.023182296050855755,0.01827820481207127,0.008274422922673138,0.013510294366054814
DH,10,54.967,0.041087040677666664,0.019125407561659813,0.013603666331619024,0.006290977355092764,0.011176147032529116
DH,15,0.0,0.010699959006160498,0.05134054087102413,0.09883769601583481,0.035240376368165016,0.10852150246500969
DH,15,1.2044051282051282,0.010765729543681327,0.05404086597263813,0.10467602942998591,0.03712137365856996,0.11213255530366531
DH,15,2.4088102564102565,0.010869745917331714,0.05688936592867741,0.11075959297326896,0.039079905702517584,0.11589267706641784
DH,15,3.613215384615385,0.011032468173652887,0.060384443889443695,0.1177891194820404,0.041573040473919645,0.12015158568437284
DH,15,4.817620512820513,0.011234895326197147,0.06425672325377281,0.12572447955608368,0.04430366594057817,0.1246253547187035
DH,15,6.022025641025641,0.011553056573925111,0.06939816632522985,0.13513747258828235,0.047750867473391384,0.12960619880602908
DH,15,7.22643076923077,0.01193857891485095,0.07530224294616626,0.1454434712918905,0.051652649202598974,0.13500064410842383
DH,15,8.430835897435898,0.01241368087581717,0.08183394458431464,0.15670335292816162,0.05622240628760595,0.140720383479045
DH,15,9.635241025641026,0.012964208144694567,0.08882505131455568,0.16848590970039368,0.061394583577146895,0.14679680162897477
DH,15,10.839646153846154,0.013617364653887656,0.09638222880088365,0.18087986226265246,0.06713829275507194,0.1532209346500727
DH,15,12.044051282051282,0.014464879730859628,0.10491157007905152,0.19443463247555953,0.07386994146956846,0.1600024359157452
DH,15,13.248456410256411,0.015519351626817997,0.11456721849166429,0.20933270282470262,0.08128031944999328,0.1665072191793185
DH,15,14.45286153846154,0.01702067700143044,0.12569349660323217,0.22651150249517882,0.09038481144950941,0.17170787717287356
DH,15,15.657266666666667,0.018708616495132446,0.13681230694055557,0.24391599744558334,0.09974440559744835,0.17620137333869934
DH,15,16.861671794871796,0.020862387135051765,0.14880754970587218,0.2624452698689241,0.11042117499388182,0.1780124937112515
DH,15,18.06607692307692,0.023269267251285225,0.16107845535645118,0.28169488448363084,0.12138358532236174,0.1790781319141388
DH,15,19.270482051282052,0.026325264444144875,0.1743873145717841,0.30283470910329086,0.13383684106744254,0.17889806227042127
DH,15,20.47488717948718,0.030164529211246058,0.1888161341731365,0.3267398488063079,0.14749555891522995,0.1774460793687747
DH,15,21.679292307692307,0.0352164044832954,0.20540001701850158,0.3528090864419937,0.1631066779104563,0.1743553183399714
DH,15,22.883697435897435,0.04100829427345441,0.22288469454416862,0.37978969285121333,0.17964797638929808,0.17025254322932315
DH,15,24.088102564102563,0.04772618785500525,0.24021815393979729,0.4060057619443306,0.19639500517111555,0.1654583731522927
DH,15,25.29250769230769,0.05563780908974317,0.2582864686846733,0.43173586863737834,0.21389306909762895,0.16045588312240747
DH,15,26.496912820512822,0.06453557183536199,0.2764012899536353,0.45683597372128415,0.2313360239450748,0.15538377916583648
DH,15,27.70131794871795,0.07498521400758855,0.2944562704517292,0.4808582503062029,0.24844920004789647,0.15028165452755415
DH,15,28.90572307692308,0.08686996881778428,0.31243583846550727,0.5045308997997872,0.26509205423868626,0.1456985447842341
DH,15,30.110128205128202,0.09874464370883429,0.3302669536608916,0.5240697677318866,0.2796243251516269,0.14247754932596135
DH,15,31.314533333333333,0.11121015250682831,0.34840330481529236,0.5431888699531555,0.2939300984144211,0.13965507969260216
DH,15,32.51893846153846,0.12186871640957318,0.3638805105135991,0.5509424209594727,0.302293282861893,0.1373614032681172
DH,15,33.72334358974359,0.13282285630702972,0.3797182784630702,0.5561471627308772,0.3098551688285974,0.13533384009049487
DH,15,34.927748717948724,0.1406702542534241,0.3726440668106078,0.5339697645260736,0.2983132079243659,0.12803755385371351
DH,15,36.13215384615384,0.13528613918102705,0.3483179956674576,0.4769085806149702,0.2722509652376175,0.12003005869113481
DH,15,37.33655897435897,0.12379949081402557,0.29376867872018075,0.38918875960203303,0.22626720426174304,0.10462873113843109
DH,15,38.540964102564104,0.1094778266090613,0.22712546701614666,0.2913911239458964,0.1721757856699136,0.08595821891839685
DH,15,39.745369230769235,0.09541027949979672,0.17654579820541233,0.21833791870337263,0.12929872996532,0.07095906367668736
DH,15,40.94977435897436,0.08307604706631255,0.1372615952904407,0.16266642023737604,0.09705162979662413,0.058603815304545226
DH,15,42.15417948717948,0.07226063354084125,0.10411491030110764,0.11731647298886227,0.07065292720038159,0.04764665856670876
DH,15,43.358584615384615,0.06320510045267068,0.07993242029960339,0.08631389100964251,0.052578763749737,0.03921733638988092
DH,15,44.562989743589746,0.05737880631708182,0.062121931750040785,0.06486138873375379,0.039043159295733154,0.03208049723448662
DH,15,45.76739487179487,0.05227753648964258,0.051426590635226324,0.05104726524307177,0.031188754937969722,0.027421840824759923
DH,15,46.9718,0.04748319834470749,0.041579315438866615,0.038654981181025505,0.023988834116607904,0.023004288785159588
DH,21,0.0,0.011973998431737224,0.04395174483458201,0.06495260447263718,0.03085271796832482,0.11916947116454442
DH,21,1.349617094017094,0.011878670696726337,0.04550077747871988,0.06891917303586616,0.032459478411409594,0.12206386023352289
DH,21,2.699234188034188,0.011813630598684788,0.04726402315860376,0.07349207150375742,0.03426960511849477,0.1253376424503632
DH,21,4.048851282051282,0.01184563291593431,0.049778210070843876,0.07972212785329574,0.0366233932093168,0.12937925899258026
DH,21,5.398468376068376,0.011935677484840026,0.05267785143298217,0.08690552432567644,0.03934340688407931,0.13378060408509695
DH,21,6.74808547008547,0.012225704333291223,0.05611556331412151,0.09490992880275106,0.04251572142681504,0.1379780531502687
DH,21,8.097702564102564,0.012613953544925421,0.05978427273340714,0.10315157320254888,0.04586526622565893,0.14203617626275772
DH,21,9.447319658119659,0.013171647201714097,0.06388420237498915,0.1123027877929883,0.049787897457424395,0.14604077456343886
DH,21,10.796936752136752,0.01378002598022039,0.06858161074292456,0.12261030058830212,0.054244467877169966,0.15032858981026542
DH,21,12.146553846153845,0.014565007534260169,0.0740135262409846,0.13431706718909434,0.059554044348307134,0.15440696821762964
DH,21,13.49617094017094,0.015410975879456243,0.08013602355733897,0.1467568284043899,0.06552459347324494,0.15825094015170363
DH,21,14.845788034188034,0.01668928471656564,0.08778772923426752,0.16167288662021995,0.07296993787217344,0.16167994658661702
DH,21,16.195405128205127,0.018253170288144015,0.09624211862683296,0.17826312856796458,0.08121638936110033,0.1649965578928972
DH,21,17.545022222222222,0.02018151535756058,0.1053419146272871,0.1966028875774807,0.09039918416076236,0.1680164105362362
DH,21,18.894639316239317,0.02281911811258039,0.11707533724032915,0.22021890565370902,0.1020867796216765,0.1700866873192991
DH,21,20.24425641025641,0.026037491475924462,0.1301034021262939,0.24602505220816684,0.1151648150422634,0.17151406101691416
DH,21,21.593873504273503,0.029657009606942147,0.14388819561045393,0.27274120618135494,0.1291694518847343,0.17229436503516302
DH,21,22.943490598290598,0.03364418375377472,0.15807909193711403,0.29943385363644004,0.14408524913920295,0.17330996488404068
DH,21,24.29310769230769,0.03808609233834804,0.17196924850726739,0.32470338084758854,0.15850892261816904,0.17389030487109455
DH,21,25.642724786324784,0.0432496235315871,0.1860065574829395,0.349630032084946,0.17292649076025712,0.17362917322888335
DH,21,26.99234188034188,0.0493218737343947,0.19991268593276665,0.37329677205819345,0.18712257797646725,0.17278401693727216
DH,21,28.341958974358974,0.05604011703951236,0.2148319200063363,0.39676689948791105,0.20146646828223494,0.1715438946699485
DH,21,29.69157606837607,0.0642274704753843,0.23079216747711864,0.4207910650815719,0.21609019749184957,0.16952490551858887
DH,21,31.041193162393164,0.07386982714773242,0.24728777571621105,0.4450251681682391,0.23090658496078262,0.16663733111996937
DH,21,32.390810256410255,0.08419579840623416,0.2644301354885102,0.46775523974345284,0.24446324201730585,0.16363356510798135
DH,21,33.740427350427346,0.09417710138054991,0.28151293430063457,0.4870801853318499,0.25710193316141766,0.1609472675710662
DH,21,35.090044444444445,0.10140332910749646,0.2970058951112959,0.49806538555357194,0.26637164751688636,0.1594139047794872
DH,21,36.439661538461536,0.10439323223172088,0.3081317991018295,0.49858657824687463,0.27096066643030214,0.15925759440049148
DH,21,37.789278632478634,0.10383922285121731,0.30766141058033347,0.4848458932505714,0.26908863558728474,0.1592162111376086
DH,21,39.138895726495726,0.1012800524695816,0.3007437957402987,0.46218363520426625,0.2626554892103896,0.15880355226178455
DH,21,40.48851282051282,0.09647203265474395,0.2783658664960128,0.42307935693325155,0.24627653146401432,0.15551864661467382
DH,21,41.838129914529915,0.09064744718563865,0.24465006538945397,0.3697032495441602,0.22066594239992984,0.14487192856195644
DH,21,43.18774700854701,0.08306997321928161,0.20406893952789476,0.3020227988306275,0.1836045892574849,0.12685371687014899
DH,21,44.537364102564105,0.07612565393822317,0.15291005048232206,0.21921317852460423,0.13410360977435726,0.09681248760376222
DH,21,45.886981196581196,0.069350649531071,0.11195032890790546,0.1507486807994353,0.09303621269571472,0.07252419361064573
DH,21,47.23659829059829,0.06226290975753062,0.07921697205712662,0.09826467870774447,0.06090812964571854,0.05334833792896355
DH,21,48.58621538461538,0.056345306050318955,0.05876195029570508,0.06609064302383329,0.0415863181727055,0.039915974801167466
DH,21,49.93583247863248,0.05073482711982524,0.04454067546842446,0.04491279328353387,0.029081852008134897,0.030970182556372423
DH,21,51.28544957264957,0.046359052356237024,0.03534649541744819,0.03185114342496436,0.021303264631165397,0.024310674597947002
DH,21,52.63506666666667,0.04243248452742895,0.02830107385913531,0.022088784724473953,0.01577310512463252,0.019120778888463974
