condition,day,z_um,S.oralis,A.naeslundii,Vd/Vp,F.nucleatum,P.gingivalis
CH,15,34.35300219780219,0.09685356358250419,0.1258090100227258,0.1349652979400132,0.07418935026823383,0.07906996851766503
CH,15,36.373767032967024,0.09530368529178283,0.12082235875365499,0.12613130712902154,0.06940587253852205,0.07491298486570737
CH,15,38.39453186813186,0.09205640838805572,0.11406161619739219,0.11585938324640085,0.06376776092382141,0.07057453477721075
CH,15,40.41529670329669,0.08880703527848799,0.10752552701330885,0.10703081367435038,0.05886707478117594,0.06691749286138532
CH,15,42.43606153846153,0.0857312030025891,0.10004650654046092,0.09709463907139644,0.053669092173759765,0.0620212333051713
CH,15,44.45682637362636,0.08200675943668509,0.09130585856817583,0.08602066400832749,0.04776574997401937,0.05700794414995791
CH,15,46.477591208791196,0.07731757585928119,0.08076289300243933,0.07330330747824447,0.040845725262339726,0.051089727753029626
CH,15,48.498356043956036,0.07243927379885873,0.07088359830143684,0.06161559770231716,0.034348424616177646,0.04616505228965491
CH,15,50.51912087912086,0.06847689321244156,0.06251948775771338,0.0524342751996967,0.029309398631118377,0.04209823738578912
CH,15,52.5398857142857,0.06502908556943848,0.05491521369133678,0.044347625935361505,0.02473067434593326,0.03806031601769584
CH,15,54.560650549450536,0.06259887886571361,0.051029750974951216,0.040005937116322936,0.0223222363453645,0.035267607237284
CH,15,56.58141538461537,0.06024818763737276,0.04763698541037329,0.03569236101630406,0.020037173549388793,0.03241012514920243
CH,15,58.60218021978021,0.05779382377699181,0.04307494755329448,0.029673076927279808,0.01728163855047999,0.029466151996710137
CH,15,60.622945054945035,0.05493204397978364,0.03763964850005215,0.023536014124996733,0.014277590090756897,0.026855697415277862
CH,15,62.643709890109875,0.052616473655779275,0.03432980081537267,0.019971537069441415,0.012372671455936336,0.025277320571898753
CH,15,64.66447472527472,0.051039492022314344,0.03226040983265573,0.01792636711573426,0.01126094939248575,0.024182143061670845
CH,15,66.68523956043954,0.04961421942481629,0.0303100197074505,0.016019099913946875,0.010238939819468575,0.023113487032497975
CH,15,68.70600439560438,0.048289422709972434,0.02889302800044472,0.01468623286597567,0.009568427506861559,0.02240130859648897
CH,15,70.72676923076921,0.047435583267019785,0.028065427646532165,0.013803549697656774,0.009112081130550348,0.021888356379509633
CH,15,72.74753406593405,0.046926012815354946,0.02749966011270062,0.0133632630273536,0.008836854290176225,0.02154690308680574
CH,15,74.76829890109889,0.04655105999974541,0.02712389235231247,0.013029919224262458,0.008644102463641992,0.02127363088271229
CH,15,76.78906373626371,0.04617366628659951,0.026814281019371944,0.012738551712516463,0.008447197008359454,0.02112670897782504
CH,15,78.80982857142855,0.04616524438772883,0.026640000886150768,0.012575387156435422,0.008398409334144421,0.02095909390066351
CH,21,0.0,0.0499389860779047,0.033982392866164446,0.021904612658545375,0.014054707600735128,0.03501022234559059
CH,21,1.7681692307692307,0.05228615607111117,0.04659350888612561,0.030011617799456686,0.02107705594971776,0.04736771755732405
CH,21,3.5363384615384614,0.0543646475730034,0.07348582542573029,0.04858204289578283,0.035893035372002766,0.08057896279467222
CH,21,5.304507692307693,0.05836442814996609,0.07349186985251997,0.052960309486549645,0.036113218655093364,0.06319375092593524
CH,21,7.072676923076923,0.06348660509460247,0.1123724135164267,0.09122354967089799,0.05959441250142379,0.07843543892391981
CH,21,8.840846153846154,0.06996550950675438,0.15528576871236927,0.13308715767776352,0.0850894575795302,0.09642572146959794
CH,21,10.609015384615386,0.07824050563459214,0.1754395893703286,0.15450737424767932,0.09644498181744263,0.10442672641231462
CH,21,12.377184615384616,0.08783388543778506,0.1612187936806526,0.1445915026542468,0.08677417634484859,0.0970822562678502
CH,21,14.145353846153846,0.0959293642678322,0.14405966736376288,0.13133582262656626,0.0758888581290077,0.08823703296291523
CH,21,15.913523076923077,0.10246915198289432,0.14025584035194838,0.12841634036829838,0.07274195587692353,0.0840058378302134
CH,21,17.68169230769231,0.10562966066675308,0.14154424083729586,0.12903868884612352,0.07263419158661213,0.08213259432560358
CH,21,19.44986153846154,0.10589128508208653,0.1385169315319031,0.12494082605609527,0.07043099023688297,0.07933319059128945
CH,21,21.218030769230772,0.10464211710943624,0.13320516121502105,0.11892769843913041,0.06691491216994248,0.07635157698622116
CH,21,22.9862,0.10364155719677608,0.12682680040597916,0.11144856301446754,0.06274293704579273,0.07288632324586312
CH,21,24.754369230769232,0.10202316815654436,0.12102665928884959,0.10475284219361268,0.058844447732926936,0.06945205501352364
CH,21,26.52253846153846,0.09786117263138294,0.11396476669380298,0.09721123613417149,0.05431625375954005,0.06607357806597765
CH,21,28.29070769230769,0.09397024871447147,0.10610521451020852,0.08930583661183333,0.04961446112690445,0.06235171966732313
CH,21,30.058876923076927,0.09013296962261963,0.09920746298172534,0.08304707319117509,0.04578843987427461,0.059008431620895856
