sample_id,diagnosis,phi0_So,phi0_An,phi0_Vd,phi0_Fn,phi0_Pg,phieq_So,phieq_An,phieq_Vd,phieq_Fn,phieq_Pg,attractor_nearest,attractor_binary,attractor_ode,PC1_init,PC2_init
Peri-implantitis.12,PI,0.5147279081377933,0.05292061907139291,0.052421367948077884,0.16425361957064402,0.21567648527209185,0.1762192077107912,0.17330273470971574,0.22774302884007178,0.18143474889046554,0.2413002798489557,CH,commensal,dysbiotic,-0.033692231845168286,0.12115525264817203
Mucositis.19,PIM,0.5532066847593201,0.18783030995572061,0.1349807170404228,0.09484359377231824,0.029138694472218254,0.18306317893859886,0.17297418862530603,0.22552661882742528,0.17939070303468937,0.23904531057398057,CS,commensal,dysbiotic,0.10329985647730605,-0.02513766923853953
Health.23,PIH,0.38108213312572986,0.02452316076294278,0.017127286882055275,0.164850136239782,0.4124172829894901,0.15629937844396793,0.17435932179911903,0.23432688290693285,0.1860101131880487,0.24900430366193138,CH,commensal,dysbiotic,-0.21291298279523413,0.27975848765236544
Health.24,PIH,0.19694048078159146,0.0016711659596349146,0.01632600591335647,0.13832112096670524,0.6467412263787119,0.14301593848101396,0.1710287609366215,0.23757921550221758,0.18654945684723476,0.26182662823291214,DS,dysbiotic,dysbiotic,-0.4311240728628357,0.46457168833213747
Peri-implantitis.13,PI,0.41418973941368076,0.014759771986970684,0.003562703583061889,0.24867671009771988,0.31881107491856675,0.16054140597968156,0.1745766996386787,0.2323621471311174,0.18632357422946627,0.24619617302105595,CH,commensal,dysbiotic,-0.19438820466598702,0.17292398052945188
Peri-implantitis.14,PI,0.09268154846001696,0.0157294904398606,0.027597249693887164,0.289629838937553,0.5743618724686823,0.14243650859178075,0.1724947957974782,0.23760178442497287,0.18983180576229122,0.25763510542347695,DS,dysbiotic,dysbiotic,-0.5608796816223615,0.32078645567559244
Health.25,PIH,0.5401039071952174,0.014874386164685787,0.05707778805778948,0.12148601523023272,0.2664579033520746,0.18032721358702358,0.17262389781047333,0.22660953586646207,0.18013517478962313,0.240304177946418,CH,commensal,dysbiotic,-0.011414881459233472,0.18409108089947662
Health.26,PIH,0.37128047609905934,0.021501247840276443,0.03417162603186792,0.12190439623728162,0.4511422537915147,0.15495737342555574,0.17402976718519292,0.23483524171815373,0.18591403631750825,0.25026358135358945,DH,dysbiotic,dysbiotic,-0.2131108815574782,0.324467061684739
Mucositis.20,PIM,0.6182212581344902,0.0,0.038322487346348515,0.09568570739937335,0.2477705471197879,0.19452660485617557,0.1707446582112359,0.22219302379504924,0.17651418252227358,0.23602153061526573,CH,commensal,dysbiotic,0.06896431178416079,0.1954851209816515
Peri-implantitis.15,PI,0.37185660781166396,0.00026752273943285177,0.3389513108614232,0.2691278758694489,0.019796682718031033,0.1550853835286106,0.17506042662002239,0.23511153558796236,0.18740368775373695,0.24733896650966788,CS,commensal,dysbiotic,-0.11706375838795244,-0.1971874565249383
Peri-implantitis.16,PI,0.14578254509995126,0.016772306192101415,0.02437835202340322,0.4519746465138957,0.36109215017064844,0.14180335273733743,0.1741719554472588,0.23417385506145175,0.20081919351799266,0.24903164323595933,DS,dysbiotic,dysbiotic,-0.5209986471933017,0.07853765306173888
Peri-implantitis.17,PI,0.16133704735376045,0.00924791086350975,0.05225626740947075,0.21649025069637884,0.5606685236768802,0.1433434808451614,0.17291805016602227,0.23803686067168997,0.1884625408050568,0.25723906751206965,DS,dysbiotic,dysbiotic,-0.4649027879408728,0.3423752543637427
Health.27,PIH,0.6325757575757576,0.003787878787878788,0.10606060606060606,0.25,0.007575757575757576,0.1970940265974416,0.17048791322073556,0.22062740325368518,0.17720576774984168,0.23458488917829606,CH,commensal,dysbiotic,0.09455018830590034,-0.09294635350877846
Peri-implantitis.18,PI,0.6148089799133517,0.028357621110673494,0.265852697912564,0.07365104371799922,0.01732965734541158,0.1937450219702448,0.17091873754432116,0.22284958393832893,0.1763239960300003,0.2361626605171048,CS,commensal,dysbiotic,0.16955043632414885,-0.0595882616934499
Mucositis.21,PIM,0.6931034482758621,0.08364073777064956,0.18035284683239775,0.04290296712109062,0.0,0.20909489005682685,0.16903291290883404,0.2176485867465842,0.17276012574563585,0.23146348454211904,CS,commensal,dysbiotic,0.2504215769423495,-0.023654271871495935
Mucositis.22,PIM,0.6984126984126984,0.006328457308849466,0.22772071791679635,0.06753812636165578,0.0,0.2098713702848897,0.16879854282769977,0.21758813711261868,0.17244737391832804,0.23129457585646387,CS,commensal,dysbiotic,0.2433277496966027,-0.0489597047737656
Mucositis.23,PIM,0.2898094188061112,0.018270593794298316,0.29453457237360214,0.37942983146952275,0.017955583556465586,0.14741925239501302,0.17524887591398136,0.23497693419742546,0.1942594676316155,0.24809546986196468,CS,commensal,dysbiotic,-0.23678608775879514,-0.24356858627025424
Mucositis.24,PIM,0.41012216404886565,0.07543145239480319,0.054876866395191,0.39926313748303277,0.060306379678107425,0.15882259691630365,0.17430617895883085,0.2298598041755004,0.19301735694577868,0.24399406300358642,CH,commensal,dysbiotic,-0.17479227885115278,-0.1261710741024087
Mucositis.25,PIM,0.7496022108701114,0.03609412946989364,0.08709488317561344,0.10149903693158027,0.025709739552801272,0.22004000397225448,0.16748944250276615,0.21413654879954333,0.1701726257894533,0.2281613789359828,CH,commensal,dysbiotic,0.2530472280019925,0.00836871741667791
Mucositis.26,PIM,0.5960484023444885,0.0040650406504065045,0.11939875212705615,0.2782189449801475,0.0022688598979013048,0.19006165207629774,0.1713298083152882,0.22251702089130704,0.17961966817155267,0.23647185054555436,CH,commensal,dysbiotic,0.05423843329378675,-0.1185957961953806
Mucositis.27,PIM,0.3060275080906149,0.03377831715210356,0.10942556634304207,0.45287216828478966,0.09789644012944984,0.14761811717457923,0.17462704930445128,0.2317460627217407,0.19996986559549698,0.24603890520373184,CH,commensal,dysbiotic,-0.29561660341933627,-0.14867890046984
Health.28,PIH,0.35217021276595745,0.05565957446808511,0.1909787234042553,0.40102127659574466,0.00017021276595744682,0.1523216415450233,0.1748794569493546,0.23205995024220585,0.1947596123761966,0.2459793388872197,CH,commensal,dysbiotic,-0.1948953329018045,-0.227430140469157
Health.29,PIH,0.6626610505450942,0.007309217046580773,0.1785183349851338,0.15151139742319128,0.0,0.20316904132171,0.16980289995880185,0.2193800222512631,0.17447723894070818,0.23317079752751682,CS,commensal,dysbiotic,0.17208629562778383,-0.0749357614867671
Health.30,PIH,0.3555361432627211,0.0514304433282376,0.177222100895392,0.4158113125136493,0.0,0.15240897956017568,0.17471721636546317,0.23152955886074572,0.1957578646823406,0.24558638053127488,CH,commensal,dysbiotic,-0.1999766012662199,-0.22934451350487328
Health.31,PIH,0.45296278549752433,0.01836767289570356,0.5269126337645743,0.0014374700527072352,0.00031943778949049674,0.16269095601588146,0.17258261551521145,0.23937791243051781,0.17999546146473316,0.2453530545736562,CS,commensal,dysbiotic,0.09252320299012629,-0.1445373370499841
Peri-implantitis.19,PI,0.2840881569387261,0.023492371034148703,0.05425042383143618,0.14507144587067086,0.49309760232501815,0.14780983403557704,0.17400543256756829,0.23708559376215163,0.1875235217143171,0.2535756179203858,DH,dysbiotic,dysbiotic,-0.30795111842650974,0.33210933503549417
Health.32,PIH,0.7071886446886447,0.0010302197802197802,0.2794184981684982,0.008585164835164836,0.0037774725274725275,0.2111485134853861,0.16843139231361862,0.2175734548382368,0.1718351621199293,0.23101147724282903,CS,commensal,dysbiotic,0.279625342221919,-0.03502452609818481
Health.33,PIH,0.11131296449215525,0.01106523534269199,0.06820809248554913,0.37753922378199833,0.4318744838976053,0.14259034290180805,0.17427207260586433,0.23633423722193006,0.19504843860507315,0.2517549086653244,DS,dysbiotic,dysbiotic,-0.5359868375918768,0.15239997629316973
Health.34,PIH,0.8274892180761297,0.01518844927807988,0.035439714982186385,0.02381398837427339,0.09806862928933058,0.23498613055646062,0.1653113768174435,0.20956368971860664,0.16638967482113645,0.22374912808635286,CH,commensal,commensal,0.3242900425753486,0.129098296907226
Health.35,PIH,0.7523954703832753,0.11824912891986063,0.06184668989547038,0.059233449477351915,0.008275261324041812,0.22061418090534485,0.16748335268293557,0.21394832652324386,0.16998285545083827,0.22797128443763742,CH,commensal,dysbiotic,0.28240440272897366,0.020918515250497306
Health.36,PIH,0.6695720386995555,0.23132572125860718,0.05639327115837183,0.04140155146866556,0.0013074174147999652,0.20452104285777314,0.1705337836921116,0.21862946421785495,0.17388357704749072,0.23243213218476963,CH,commensal,dysbiotic,0.22934424803847203,0.014573690333405014
Health.37,PIH,0.5503735567127009,0.12949966040298846,0.010867104369481548,0.1888159384197419,0.12044374009508717,0.18245206065719874,0.17270196759489606,0.22557091196462678,0.18007375736308404,0.23920130242019438,CH,commensal,dysbiotic,0.016523348040648145,0.04842485684903067
Mucositis.28,PIM,0.8609117771211482,0.005698607007176023,0.034613761080624736,0.05382017728999578,0.0449556775010553,0.24134894758987313,0.16437558731038837,0.20759713394584572,0.16482330133257386,0.22185502982131888,CH,commensal,commensal,0.3551919052901234,0.07587491167469197
Peri-implantitis.20,PI,0.39640387275242045,0.0035961272475795295,0.05255878284923928,0.36542185338865835,0.18201936376210234,0.1576371147451344,0.17467865222006626,0.23120597044904936,0.19136032019157115,0.24511794239417878,CH,commensal,dysbiotic,-0.21428847150212052,-0.010623721974250223
Mucositis.29,PIM,0.6340294419719275,0.011982197877439232,0.1062992125984252,0.2468332762752482,0.0008558712769599452,0.19740430318719585,0.17047018672448644,0.2205522621503777,0.17706856451736233,0.23450468342057762,CH,commensal,dysbiotic,0.09980616671498149,-0.09704429785476526
Peri-implantitis.21,PI,0.23606102635228848,0.030790568654646324,0.15755894590846048,0.567128987517337,0.008460471567267683,0.1410418434318385,0.1728991431926245,0.22884666380570962,0.2132369011269412,0.2439754484428861,CH,commensal,dysbiotic,-0.37273406766844,-0.29776465178411043
Health.38,PIH,0.5679923965492031,0.27569820149144614,0.07062436028659161,0.08444216990788127,0.0012428717648779062,0.18551681845794712,0.17402259592443164,0.22419753392877187,0.17853925124631553,0.2377238004425338,CH,commensal,dysbiotic,0.12896745531331283,-0.021541286615365383
Peri-implantitis.22,PI,0.546839546191248,0.066612641815235,0.16985413290113452,0.2160453808752026,0.0006482982171799027,0.18162709932581397,0.1726440733924224,0.225799149161923,0.18051747839924878,0.23941219972059183,CS,commensal,dysbiotic,0.04899127992998281,-0.11445884352763662
Health.39,PIH,0.7439646967206023,0.004066799342389894,0.10487150644630959,0.09950679242017825,0.04759020507052003,0.2189413231964815,0.16762466450405195,0.21449449637499787,0.17043729168113297,0.2285022242433359,CH,commensal,dysbiotic,0.24186289423168789,0.021161484959255912
Peri-implantitis.23,PI,0.06081412457086807,0.0062530652280529675,0.06927415399705739,0.8401177047572339,0.023540951446787643,0.12959985747745859,0.16583289199472837,0.21580198965509834,0.25533060897089443,0.23343465190182025,DS,dysbiotic,dysbiotic,-0.6542315951968782,-0.3996364593309947
Health.40,PIH,0.44891640866873067,0.0696594427244582,0.05386996904024768,0.20526315789473684,0.22229102167182663,0.1658695293720394,0.17450183616576787,0.23085192858962822,0.18446395581219976,0.24431275006036485,CH,commensal,dysbiotic,-0.1080114497345088,0.09995994030373405
Health.41,PIH,0.6371293209334971,0.043516406387085454,0.10615897525881733,0.19442007369713984,0.018775223723460258,0.1982846929097184,0.17047799935911614,0.220643637195203,0.1761057405295714,0.23448793000639112,CH,commensal,dysbiotic,0.12181955004271061,-0.05845034601283265
Mucositis.30,PIM,0.6143790849673203,0.036511156186612576,0.32792427315753886,0.020734730673878748,0.000450755014649538,0.19310927159497884,0.17074217310628045,0.2237182510176123,0.1759836726026713,0.23644663167845714,CS,commensal,dysbiotic,0.20366271407977538,-0.06997806155602827
Mucositis.31,PIM,0.4788661522978866,0.009896008050989601,0.06122106675612211,0.3762160348876216,0.07380073800738007,0.1688099378461144,0.17337126687329982,0.22733655126469932,0.18899410894787325,0.2414881350680132,CH,commensal,dysbiotic,-0.11458704551689178,-0.0982804762591576
Mucositis.32,PIM,0.6978434130332865,0.030707923112986403,0.14603844350679793,0.11040787623066103,0.015002344116268168,0.20999725353752094,0.1688885651456264,0.2172829584176634,0.17266463119807052,0.23116659170111883,CS,commensal,dysbiotic,0.21371501930795905,-0.029578593999514867
Mucositis.33,PIM,0.3424242424242424,0.047474747474747475,0.5208754208754208,0.08922558922558922,0.0,0.1500747652821658,0.17402145293950033,0.24323792892671856,0.1834767393663336,0.24918911348528175,CS,commensal,dysbiotic,-0.03771551277507579,-0.19535748202403377
Mucositis.34,PIM,0.5459940652818991,0.12025612993909104,0.1814774324535374,0.15211619553334374,0.00015617679212868969,0.18168502643641668,0.17277650002833406,0.22607262127974553,0.1799003394804995,0.23956551277500426,CS,commensal,dysbiotic,0.08092720450338664,-0.09033532572515814
Mucositis.35,PIM,0.6607289107289107,0.02364864864864865,0.027948402948402947,0.2418099918099918,0.04586404586404586,0.20249668900407752,0.16978989370601183,0.21900038361819024,0.17570269343724007,0.23301034023448033,CH,commensal,dysbiotic,0.10429974233286432,-0.029128377860171265
