:START_ID,:END_ID,:TYPE,oral:STRING,strain_details:STRING,co_culture:STRING,comments:STRING,reference:STRING
sp_parvimonas_micra,sp_sr1_sp_hmt_875,SUPPORTS,Yes,,,,Cross2019 (10.1038/s41587-019-0260-6)
sp_porphyromonas_gingivalis,sp_tannerella_serpentiformis_hmt_286,SUPPORTS,Yes,,,,Vartoukian2016 (10.1177/0022034516651078)
sp_prevotella_intermedia,sp_tannerella_serpentiformis_hmt_286,SUPPORTS,Yes,,,Best growth on membranes over “helper” lawns,Vartoukian2016 (10.1177/0022034516651078)
sp_schaalia_meyeri,sp_saccharibacteria_tm7_sp_hmt_952,SUPPORTS,Yes,"strain W712, Saccharibacterium (TM7) sp. HMT-952 is ectobiont",,,"Bor2020 (10.1177/0022034520905792), Murugkar2023 (10.1080/20002297.2020.1814666)"
sp_schaalia_odontolytica,sp_anaerolineae_sp_hmt_439,SUPPORTS,Yes,,,"Initially stimulated, later inhibited",Vartoukian2016 (10.1371/journal.pone.0146926)
sp_schaalia_odontolytica,sp_bacteroidaceae_sp_hmt_272,SUPPORTS,Yes,,,"Initially stimulated, later inhibited",Vartoukian2016 (10.1371/journal.pone.0146926)
sp_schaalia_odontolytica,sp_saccharibacteria_tm7_sp_hmt_952,SUPPORTS,Yes,"strain XH001, Saccharibacterium (TM7) sp. HMT-952 is ectobiont",SHI solid agar medium-cultivated saliva samples,,"He2015 (10.1073/pnas.1419038112), Bor2020 (10.1177/0022034520905792)"
sp_sphingomonas_sp,sp_catellibacterium_nectariphilum,SUPPORTS,No,C. nectariphilumis a sludge isolate,NPB medium with 10% (v/v) supernatant from an enrichment culture of whole activated sludge,Low molecular weight (<1000 Da)heat-stable non-peptide in helper supernatant promotes growth,Tanaka2004 (10.1099/ijs.0.02750-0)
sp_staphylococcus_aureus,sp_fretibacterium_fastidiosum,SUPPORTS,Yes,,Cooked Meat Medium (CMM) with Mucin and Serum supplementation,Growth after 8 passages,Vartoukian2010 (10.1111/j.1462-2920.2009.02135.x)
sp_staphylococcus_aureus,sp_new_isolates_of_slow_growing_strains,SUPPORTS,Yes,helper strain NCTC 6715,,Routine procedure for slow growing strains of new isolates which first form colonies after 7 days of incubation,Thompson2015 (10.1128/AEM.02156-15)
sp_staphylococcus_aureus,sp_porphyromonas_gingivalis,SUPPORTS,Yes,,,,CCUG (CCUG  27724)
sp_staphylococcus_aureus,sp_porphyromonas_sp,SUPPORTS,Yes,,,,CCUG (CCUG 47443)
sp_staphylococcus_epidermidis,sp_lachnospiraceae_sp_hmt_500,SUPPORTS,Yes,,Support on diverse media,Satellite growth on PPA agar,Thompson2015 (10.1128/AEM.02156-15)
sp_staphylococcus_hominis,sp_porphyromonas_pasteri,SUPPORTS,Yes,,,,Murugkar2023 (10.1080/20002297.2022.2143651)
sp_staphylococcus_sp,sp_abiotrophia,SUPPORTS,Yes,"Nutritionally variant streptococci, pyridoxal hydrochloride-related",BBL Soy Trypticase agar/ Difco Heart Infusion agar/Pyridoxyl supplemented media,"Satellite growth after 24 h, larger colonies at the outer edge of the zone at 48h, non-hemolytic or alpha-hemolytic satellite growth around helpers","Frenkel1961 (10.1038/191728a0), Rouff1991 (10.1128/cmr.4.2.184)"
sp_staphylococcus_sp,sp_aggregatibacter,SUPPORTS,Yes,,,"S. aureus-induced lysis of red blood cells (RBC) leads to the release of hemin and NAD, which act as nutrients and support the growth of H. influenzae","Nair2014 (10.1128/IAI.00059-14), Nørskov-Lauritsen2014 (10.1128/CMR.00103-13)"
sp_staphylococcus_sp,sp_granulicatella,SUPPORTS,Yes,"Nutritionally variant streptococci, pyridoxal hydrochloride-related",BBL Soy Trypticase agar/ Difco Heart Infusion agar/Pyridoxyl supplemented media,"Satellite growth after 24 h, larger colonies at the outer edge of the zone at 48h, non-hemolytic or alpha-hemolytic satellite growth around helpers","Frenkel1961 (10.1038/191728a0), Rouff1991 (10.1128/cmr.4.2.184)"
sp_staphylococcus_sp,sp_haemophilus,SUPPORTS,Yes,,,"S. aureus-induced lysis of red blood cells (RBC) leads to the release of hemin and NAD, which act as nutrients and support the growth of H. influenzae","Nair2014 (10.1128/IAI.00059-14), Nørskov-Lauritsen2014 (10.1128/CMR.00103-13)"
sp_staphylococcus_sp,sp_tannerella_forsythia,SUPPORTS,Yes,,,Slight stimulation,CCUG (CCUG 21028)
sp_streptococcus_sp,sp_abiotrophia,SUPPORTS,Yes,"Nutritionally variant streptococci, pyridoxal hydrochloride-related",BBL Soy Trypticase agar/ Difco Heart Infusion agar/Pyridoxyl supplemented media,Growth stimulated in presence of helpers with meida supplementation of Todd-Hewitt broth dialysate,"Frenkel1961 (10.1038/191728a0), Rouff1991 (10.1128/cmr.4.2.184)"
sp_streptococcus_sp,sp_granulicatella,SUPPORTS,Yes,"Nutritionally variant streptococci, pyridoxal hydrochloride-related",BBL Soy Trypticase agar/ Difco Heart Infusion agar/Pyridoxyl supplemented media,Growth stimulated in presence of helpers with meida supplementation of Todd-Hewitt broth dialysate,"Frenkel1961 (10.1038/191728a0), Rouff1991 (10.1128/cmr.4.2.184)"
sp_sutterella_sp,sp_bacteroides_fragilis,SUPPORTS,No,Sutterella sp. is a human gut isolate,,Partial dependence on helper presence for growth,Tanaka2015 (10.1111/1348-0421.12220)
