cond,day,file,fov,z_idx,z_frac,S.o,A.n,Vd/Vp,F.n,P.g
DH,10,241018_HOBIC24_5Spezies_FISH,3,15,0.38461538461538464,0.21512377262115479,0.23170936107635498,0.26509562134742737,0.10978169739246368,0.1782895177602768
DH,10,241018_HOBIC24_5Spezies_FISH,3,16,0.41025641025641024,0.21433426439762115,0.22456471621990204,0.2623497247695923,0.10938902199268341,0.18936225771903992
DH,10,241018_HOBIC24_5Spezies_FISH,3,17,0.4358974358974359,0.21162372827529907,0.21971897780895233,0.26094117760658264,0.10894513130187988,0.19877104461193085
DH,10,241018_HOBIC24_5Spezies_FISH,3,18,0.46153846153846156,0.2112148553133011,0.21931703388690948,0.25992774963378906,0.10894916206598282,0.20059123635292053
DH,10,241018_HOBIC24_5Spezies_FISH,3,19,0.48717948717948717,0.20966920256614685,0.21637964248657227,0.25995033979415894,0.10971349477767944,0.2042873054742813
DH,10,241018_HOBIC24_5Spezies_FISH,3,20,0.5128205128205128,0.20845191180706024,0.2162015438079834,0.25941625237464905,0.11052010953426361,0.2054101973772049
DH,10,241018_HOBIC24_5Spezies_FISH,3,21,0.5384615384615384,0.20821937918663025,0.2170063704252243,0.25731906294822693,0.1104525476694107,0.2070026844739914
DH,10,241018_HOBIC24_5Spezies_FISH,3,22,0.5641025641025641,0.20601654052734375,0.21920421719551086,0.2571675479412079,0.11202816665172577,0.20558345317840576
DH,10,241018_HOBIC24_5Spezies_FISH,3,23,0.5897435897435898,0.20412521064281464,0.2216637283563614,0.25713101029396057,0.11296969652175903,0.20411042869091034
DH,10,241018_HOBIC24_5Spezies_FISH,3,24,0.6153846153846154,0.20427609980106354,0.22430653870105743,0.25747230648994446,0.11314582824707031,0.20079916715621948
DH,10,241018_HOBIC24_5Spezies_FISH,3,25,0.6410256410256411,0.2045121043920517,0.2277735322713852,0.2545791566371918,0.11452098935842514,0.19861429929733276
DH,10,241018_HOBIC24_5Spezies_FISH,3,26,0.6666666666666666,0.20424042642116547,0.2301349639892578,0.25336429476737976,0.11599647998809814,0.1962638795375824
DH,10,241018_HOBIC24_5Spezies_FISH,3,27,0.6923076923076923,0.2048347443342209,0.23200306296348572,0.2510983943939209,0.11728739738464355,0.19477632641792297
DH,10,241018_HOBIC24_5Spezies_FISH,3,28,0.717948717948718,0.20755746960639954,0.23348857462406158,0.2458869069814682,0.11959730088710785,0.19346974790096283
DH,10,241018_HOBIC24_5Spezies_FISH,3,29,0.7435897435897436,0.20908768475055695,0.23661774396896362,0.24187691509723663,0.12069446593523026,0.19172322750091553
DH,10,241018_HOBIC24_5Spezies_FISH,3,30,0.7692307692307693,0.21310943365097046,0.24349632859230042,0.22864612936973572,0.12250421941280365,0.19224390387535095
DH,10,241018_HOBIC24_5Spezies_FISH,3,31,0.7948717948717948,0.2161397784948349,0.2486790269613266,0.2087661474943161,0.12592825293540955,0.20048674941062927
DH,10,241018_HOBIC24_5Spezies_FISH,3,32,0.8205128205128205,0.2159271538257599,0.2551653981208801,0.1787145435810089,0.12997262179851532,0.22022031247615814
DH,10,241018_HOBIC24_5Spezies_FISH,3,33,0.8461538461538461,0.21274882555007935,0.251839816570282,0.15103235840797424,0.13448406755924225,0.249894917011261
