cond,day,file,fov,latCV_S.o,biomass_S.o,latCV_A.n,biomass_A.n,latCV_Vd/Vp,biomass_Vd/Vp,latCV_F.n,biomass_F.n,latCV_P.g,biomass_P.g,FnPg_patch_M1,FnPg_3d_M1
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,4,0.7977944612503052,139583.40625,0.5517645478248596,224129.0625,1.2754050493240356,157920.53125,0.5898756980895996,140317.796875,1.020669937133789,99130.3671875,0.9966772198677063,0.814593493938446
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,5,0.6300504207611084,253331.09375,0.3954288065433502,264167.5,0.9559014439582825,200566.875,0.45992180705070496,152118.9375,0.7874554991722107,144638.578125,0.9950143694877625,0.7926241159439087
CH,6,240416_HOBIC22_5Spezies_FISH_Tag6,0,0.34993764758110046,1075116.625,0.4380200505256653,771156.3125,0.30117741227149963,1808495.5,0.5278131365776062,349741.21875,0.6727448105812073,332408.65625,0.9969943761825562,0.6540376543998718
CH,6,240416_HOBIC22_5Spezies_FISH_Tag6,1,0.371313214302063,860409.25,0.44695034623146057,743059.0625,0.30054810643196106,1649311.5,0.47185662388801575,388943.8125,0.5416646003723145,444118.125,0.9995197653770447,0.6234385967254639
CH,6,240416_HOBIC22_5Spezies_FISH_Tag6,2,0.3656378388404846,850302.375,0.41935834288597107,861418.5625,0.36549216508865356,1722732.75,0.4625268578529358,410698.21875,0.4463595449924469,529937.3125,0.9994715452194214,0.5239304304122925
CH,6,240416_HOBIC22_5Spezies_FISH_Tag6,3,0.3925929367542267,603550.5,0.46416085958480835,711774.375,0.32876595854759216,1251490.375,0.4759075343608856,382736.9375,0.5957726836204529,307242.28125,0.9942961931228638,0.6562544107437134
CH,6,240416_HOBIC22_5Spezies_FISH_Tag6,4,0.26074543595314026,1116440.625,0.3615947365760803,895571.625,0.22098834812641144,1703802.0,0.4155081808567047,387615.375,0.5137253999710083,458387.28125,0.9998324513435364,0.5491936206817627
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,0,0.7053602933883667,121409.5,0.8432309627532959,139009.578125,1.0814650058746338,127929.9140625,1.0252125263214111,70552.4296875,1.5482062101364136,55735.97265625,0.787041962146759,0.3862556517124176
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,1,0.7381454110145569,154656.046875,0.6078891754150391,201300.296875,1.1868890523910522,151293.921875,1.1507676839828491,68586.0078125,1.99455726146698,42680.33203125,0.9332752227783203,0.5905120372772217
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,2,1.3500045537948608,244343.59375,0.6475225687026978,353682.8125,1.0654211044311523,335101.28125,1.1387678384780884,134078.296875,2.534529685974121,102018.5,0.9483916759490967,0.9440982937812805
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,3,0.9369587898254395,209585.15625,0.7528833150863647,274828.3125,0.9013980627059937,218780.890625,1.0283279418945312,134043.265625,1.3099217414855957,225887.015625,0.9724043011665344,0.42322129011154175
